cycle,domain,baseline,reward,bwt,pass@1,pass@4,pass@16,coverage_solved,coverage_solutions,distinct_3,self_overlap,repetition,gen_entropy,weight_drift,param_norm,dormant_frac,effective_rank,used_mock,w_explore,w_stable,w_prec,w_diff,acc_GSM8K,acc_Code,acc_MedicalMC
1,GSM8K,nsiac,0.70473,0.0,0.4219,0.7605,0.875,0.875,6.75,0.557,0.0965,0.0899,1.6051,1.2e-05,1640.691,0.0,14.189923286437988,False,0.25,0.25,0.25,0.25,0.4219,0.0,0.0
2,GSM8K,nsiac,0.19866,0.0,0.3812,0.6857,0.825,0.825,6.1,0.5067,0.1165,0.1084,1.5947,1.6e-05,1640.691,0.0,13.403331756591797,False,0.25,0.25,0.25,0.25,0.3812,0.0,0.0
3,GSM8K,nsiac,0.29371,0.0,0.4219,0.7359,0.85,0.85,6.7,0.4882,0.1074,0.1158,1.5073,1.9e-05,1640.691,0.0,13.814188003540039,False,0.3911,0.1655,0.1209,0.3226,0.4219,0.0,0.0
4,GSM8K,nsiac,0.29251,0.0,0.4641,0.7808,0.9,0.9,7.275,0.4608,0.1117,0.1193,1.4412,2.1e-05,1640.691,0.0,13.630694389343262,False,0.3809,0.1694,0.1213,0.3285,0.4641,0.0,0.0
5,GSM8K,nsiac,0.21341,0.0,0.4437,0.7297,0.85,0.85,6.975,0.4399,0.1127,0.1203,1.4607,2.3e-05,1640.691,0.0,14.068525314331055,False,0.4306,0.1749,0.042,0.3525,0.4437,0.0,0.0
6,Code,nsiac,0.13768,-0.01406,0.275,0.5759,0.8,0.8,4.125,0.6828,0.0925,0.063,1.8395,3.2e-05,1640.691,0.0,13.551791191101074,False,0.3334,0.1038,0.2838,0.2791,0.4297,0.275,0.0
7,Code,nsiac,-0.02688,-0.15,0.3,0.5958,0.75,0.75,4.625,0.7121,0.0939,0.0475,1.791,3.9e-05,1640.691,0.0,12.815946578979492,False,0.4261,0.1563,0.1211,0.2964,0.2938,0.3,0.0
8,Code,nsiac,0.03877,-0.10781,0.2625,0.5563,0.775,0.775,4.025,0.7276,0.0808,0.0475,1.868,4.3e-05,1640.691,0.0,12.462990760803223,False,0.4758,0.1497,0.0448,0.3297,0.3359,0.2625,0.0
9,Code,nsiac,0.10546,-0.10625,0.275,0.5853,0.775,0.775,4.25,0.7067,0.086,0.0536,1.925,4.7e-05,1640.691,0.0,12.246454238891602,False,0.339,0.0805,0.3335,0.2469,0.3375,0.275,0.0
10,Code,nsiac,0.38442,-0.03281,0.2844,0.5691,0.725,0.725,4.275,0.706,0.0929,0.0488,1.8657,5e-05,1640.691,0.0,13.361222267150879,False,0.0856,0.6724,0.1715,0.0705,0.4109,0.2844,0.0
11,MedicalMC,nsiac,0.71513,0.00547,0.3641,0.7305,0.95,0.95,5.125,0.8107,0.0837,0.0574,1.5162,5.7e-05,1640.69,0.0,13.705241203308105,False,0.0485,0.0073,0.3939,0.5503,0.3594,0.3797,0.3641
12,MedicalMC,nsiac,0.58193,0.04297,0.2953,0.7017,0.975,0.975,4.725,0.7812,0.096,0.0733,2.4561,6.5e-05,1640.69,0.0,13.466048240661621,False,0.2639,0.0596,0.512,0.1645,0.3547,0.4594,0.2953
13,MedicalMC,nsiac,0.66348,0.03828,0.2641,0.6659,0.975,0.975,4.225,0.7871,0.0989,0.0662,2.313,7.3e-05,1640.69,0.0,13.48409652709961,False,0.2774,0.0582,0.4919,0.1725,0.3484,0.4562,0.2641
14,MedicalMC,nsiac,0.70695,0.04766,0.35,0.6422,0.925,0.925,5.575,0.4603,0.0897,0.4215,2.4817,8.1e-05,1640.69,0.0,13.45355224609375,False,0.1466,0.028,0.7126,0.1129,0.3719,0.4516,0.35
15,MedicalMC,nsiac,0.91876,0.08984,0.2906,0.5891,0.85,0.85,4.65,0.7435,0.0728,0.1414,2.1759,8.5e-05,1640.69,0.0,13.682073593139648,False,0.0428,0.5077,0.4079,0.0416,0.4766,0.4313,0.2906
